university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0
國立臺東大學,應用科學系應用物理組,109,1,1,1.5,NULL,2,1.5,NULL,NULL,NULL,NULL,43.45,55.7047
國立臺東大學,生命科學系,109,1.5,1,NULL,NULL,NULL,1,2,NULL,NULL,NULL,52.6273,55.6572
東海大學,政治學系政治理論組,109,1.75,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,57.4261,55.638
國立宜蘭大學,生物機電工程學系,109,2,1,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,46.5462,55.6343
國立金門大學,長期照護學系,109,2,1,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,56.2,55.623
元智大學,資訊傳播學系科技組,109,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,48.5333,55.5992
元智大學,藝術與設計學系,109,1,1,NULL,1,NULL,NULL,NULL,1,1,NULL,50.33,55.5945
國立暨南國際大學,土木工程學系,109,1,2,2,NULL,2,1,NULL,NULL,NULL,NULL,42.875,55.5629
銘傳大學,廣告暨策略行銷學系(台北),109,2,1,NULL,NULL,NULL,NULL,NULL,1.75,NULL,2,56.7778,55.5569
國立臺東大學,教育學系,109,1.5,1,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,49.2125,55.527
世新大學,口語傳播暨社群媒體學系,109,2,2,NULL,NULL,NULL,NULL,NULL,2,NULL,1,55.8571,55.4756
東海大學,日本語言文化學系,109,1.75,2,NULL,NULL,NULL,NULL,NULL,1.5,NULL,NULL,55.1714,55.4583
國立聯合大學,臺灣語文與傳播學系,109,2,2,NULL,NULL,NULL,NULL,NULL,2,1,NULL,55.3286,55.4424
東吳大學,物理學系,109,NULL,1,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,38.5222,55.4378
國立金門大學,海洋與邊境管理學系,109,2,1,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,55.96,55.4184
逢甲大學,光電科學與工程學系A組,109,2,1.5,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48.9,55.4158
國立暨南國際大學,觀光休閒與餐旅管理系觀光組,109,2,2,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,51.2727,55.3961
輔仁大學,織品服裝學系織品服飾行銷組,109,2,2,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,51.2727,55.3961
逢甲大學,行銷學系,109,2,2,NULL,1.75,NULL,NULL,NULL,NULL,NULL,NULL,50.7739,55.386
