university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0
國立中興大學,化學系(公費)-花蓮縣,108,1,1.5,2,NULL,1,2,NULL,NULL,NULL,NULL,79.8973,85.7063
國立臺灣大學,社會工作學系,108,1.25,1.25,NULL,1,NULL,NULL,NULL,1,NULL,1,82.5145,85.6856
國立清華大學,經濟學系第1組,108,1,2,NULL,2,NULL,NULL,NULL,1,1,NULL,82.1857,85.669
國立清華大學,工學院學士班,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,80.69,85.6603
國立臺灣大學,哲學系,108,1,1,NULL,1,NULL,NULL,NULL,1,NULL,1,82.3,85.6546
國立臺北大學,法律學系財經法組,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,NULL,1,82.605,85.6427
中國醫藥大學,藥學系,108,1,1,1,NULL,NULL,1,1,NULL,NULL,NULL,81.79,85.5811
國立臺灣師範大學,教育心理與輔導學系,108,1,1.25,NULL,1.25,NULL,NULL,NULL,1,NULL,1,82.1782,85.4858
國立臺灣大學,生命科學系,108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,79.07,85.4539
國立臺灣大學,醫學檢驗暨生物技術學系,108,1,1,1,NULL,NULL,1,1,NULL,NULL,NULL,81.57,85.4415
國立清華大學,計量財務金融學系甲組,108,1,1.5,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.745,85.375
國立成功大學,電機工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,80.18,85.3664
國立臺灣大學,戲劇學系(女),108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,81.7,85.3634
國立政治大學,公共行政學系,108,1,1.5,NULL,1.25,NULL,NULL,NULL,NULL,NULL,1.25,83.32,85.3133
國立中央大學,經濟學系,108,1.25,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,84.0381,85.2957
國立政治大學,歐洲語文學系德文組,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,81.58,85.283
國立臺灣大學,工程科學及海洋工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,80.02,85.2743
國立臺灣師範大學,特殊教育學系(公費)-臺東縣,108,1.25,1.25,NULL,1,NULL,NULL,NULL,1,NULL,1,81.9618,85.2571
國立政治大學,外交學系,108,1.5,1.75,NULL,1.25,NULL,NULL,NULL,1,1,NULL,81.6431,85.2556
國立政治大學,歐洲語文學系西班牙文組,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,81.4583,85.2015
國立臺北大學,法律學系司法組,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,NULL,1,82.0333,85.1959
國立中興大學,財務金融學系,108,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,83.7,85.1819
國立陽明大學,物理治療暨輔助科技學系,108,NULL,1.25,1,NULL,1,1,1.25,NULL,NULL,NULL,78.8073,85.1276
國立政治大學,地政學系土地管理組,108,1.5,1.5,NULL,1.5,NULL,NULL,NULL,1,1,NULL,81.42,85.0213
國立中山大學,財務管理學系,108,1,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,83.5625,85.0151
國立中興大學,獸醫學系,108,1,1.5,1,NULL,NULL,1.5,1.5,NULL,NULL,NULL,81.0662,85.0112
國立臺灣大學,農業經濟學系,108,1.5,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.3818,85.002
國立政治大學,教育學系,108,1,2,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,82.975,84.9748
國立成功大學,企業管理學系,108,1,1.25,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,83.5169,84.9708
國立清華大學,動力機械工程學系甲組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.44,84.969
