university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average
中國文化大學,運動與健康促進學系,108,2,2,NULL,NULL,NULL,NULL,1.75,NULL,NULL,NULL,56.4574
中國文化大學,都市計劃與開發管理學系,108,1.5,2,NULL,1,NULL,NULL,NULL,1,1.5,NULL,48.3286
中國文化大學,電機工程學系A組,108,2,2,2,NULL,1,1,NULL,NULL,NULL,NULL,47.775
中國文化大學,電機工程學系B組,108,2,2,1,NULL,2,1,NULL,NULL,NULL,NULL,46.8125
中國文化大學,韓國語文學系,108,2,2,NULL,NULL,NULL,NULL,NULL,1,1,NULL,57.05
中國文化大學,音樂學系A組,108,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,48.12
中國文化大學,音樂學系B組,108,2,1.5,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,56.8667
中國醫藥大學,中國藥學暨中藥資源學系,108,NULL,1.5,1,NULL,NULL,1.5,1.5,NULL,NULL,NULL,75.9055
中國醫藥大學,中醫學系乙組,108,1,1,1.5,NULL,NULL,1,1,NULL,NULL,NULL,84.3545
中國醫藥大學,中醫學系甲組,108,1,1,1.5,NULL,NULL,1,1,NULL,NULL,NULL,85.1182
中國醫藥大學,公共衛生學院大一不分系,108,2,2,NULL,NULL,NULL,1,2,NULL,NULL,NULL,68.4
中國醫藥大學,營養學系,108,1,2,NULL,NULL,NULL,2,2,NULL,NULL,NULL,73.9429
中國醫藥大學,牙醫學系,108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,84.24
中國醫藥大學,物理治療學系,108,NULL,1.5,1,NULL,1,NULL,1.25,NULL,NULL,NULL,73.1263
中國醫藥大學,生物科技學系,108,1,1.25,NULL,NULL,NULL,1.25,1.5,NULL,NULL,NULL,69.078
中國醫藥大學,生物醫學影像暨放射科學學系,108,NULL,1.25,1.5,NULL,1.25,NULL,1,NULL,NULL,NULL,67.04
中國醫藥大學,藥學系,108,1,1,1,NULL,NULL,1,1,NULL,NULL,NULL,81.79
中國醫藥大學,藥用化妝品學系,108,1,2,NULL,NULL,NULL,2,2,NULL,NULL,NULL,66.8857
中國醫藥大學,護理學系,108,1,1.5,NULL,NULL,NULL,1,1.5,NULL,NULL,NULL,68.62
中國醫藥大學,運動醫學系,108,NULL,2,1,NULL,1.25,NULL,1.5,NULL,NULL,NULL,63.0487
中國醫藥大學,醫學檢驗生物技術學系,108,1,1,NULL,NULL,NULL,1.5,1.75,NULL,NULL,NULL,79.2381
中國醫藥大學,醫學系,108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,85.55
中山醫學大學,健康餐飲暨產業管理學系,108,2,1,1,NULL,NULL,2,2,NULL,NULL,NULL,57.1562
中山醫學大學,公共衛生學系,108,2,2,1,NULL,NULL,1.5,1,NULL,NULL,NULL,61.9067
中山醫學大學,心理學系,108,1.5,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70.3111
中山醫學大學,應用外國語言學系,108,1.5,2,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,66.6
中山醫學大學,營養學系,108,1,2,1,NULL,NULL,2,2,NULL,NULL,NULL,64.7125
中山醫學大學,牙醫學系,108,1,1,1,NULL,NULL,1,1.25,NULL,NULL,NULL,84.581
中山醫學大學,物理治療學系,108,1.5,1.5,1,NULL,1,NULL,1.5,NULL,NULL,NULL,72.5692
中山醫學大學,生物醫學科學學系,108,1,1.5,1,NULL,NULL,1.5,2,NULL,NULL,NULL,63.1429
中山醫學大學,職業安全衛生學系,108,2,1,1,NULL,NULL,1.5,2,NULL,NULL,NULL,57.96
中山醫學大學,職能治療學系,108,1.25,1.5,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,79.168
中山醫學大學,視光學系,108,NULL,1,1,NULL,1,NULL,1.5,NULL,NULL,NULL,58.6111
中山醫學大學,語言治療與聽力學系聽力組,108,1.5,2,NULL,NULL,1.5,NULL,1,NULL,NULL,NULL,69.7
中山醫學大學,語言治療與聽力系語言治療組,108,1.5,2,NULL,NULL,1,NULL,1.5,NULL,NULL,NULL,73.35
中山醫學大學,護理學系,108,1.25,1.5,1,NULL,NULL,1,1.25,NULL,NULL,NULL,58.945
中山醫學大學,醫學影像暨放射科學系,108,NULL,1,1.5,NULL,2,1,1,NULL,NULL,NULL,60.4
中山醫學大學,醫學應用化學系,108,1,1,1.5,NULL,NULL,2,NULL,NULL,NULL,NULL,63.7636
中山醫學大學,醫學檢驗暨生物技術學系,108,1,1.5,NULL,NULL,NULL,1.5,1.75,NULL,NULL,NULL,73.3357
中山醫學大學,醫學社會暨社會工作學系,108,2,2,NULL,1,NULL,NULL,NULL,1,1,NULL,59.8429
中山醫學大學,醫學系,108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,84.55
中山醫學大學,醫學資訊學系,108,1,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60.12
中山醫學大學,醫療產業科技管理學系,108,1,1.5,NULL,1.5,NULL,NULL,NULL,NULL,1,NULL,65.07
中華大學,企業管理學系,108,2,NULL,NULL,NULL,NULL,NULL,NULL,1,2,2,56.1429
中華大學,光電與材料工程學系,108,2,1,1,NULL,2,2,NULL,NULL,NULL,NULL,42.4188
中華大學,土木工程學系,108,2,2,2,NULL,1,1,NULL,NULL,NULL,NULL,41.1
中華大學,工業產品設計系(創意生活組),108,2,2,NULL,NULL,NULL,NULL,NULL,1,NULL,2,46.9286
中華大學,工業產品設計系(工業設計組),108,2,2,NULL,NULL,1,1,NULL,NULL,NULL,NULL,42.9167
中華大學,工業管理學系,108,2,2,NULL,1.75,NULL,NULL,NULL,NULL,NULL,NULL,48.4957
中華大學,建築與都計學系(建築科技組),108,2,1.75,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,46.4452
中華大學,建築與都計學系(建築設計組),108,2,2,NULL,1.75,NULL,NULL,NULL,NULL,NULL,NULL,48.8957
中華大學,建築與都計學系(都市計畫組),108,2,2,NULL,1.75,NULL,NULL,NULL,NULL,NULL,NULL,44.9826
中華大學,應用日語學系(商務組),108,2,1,NULL,NULL,NULL,NULL,NULL,2,2,1,51.7125
中華大學,應用日語學系(觀光組),108,2,1,NULL,NULL,NULL,NULL,NULL,2,2,1,48.7
中華大學,應用日語學系(語文組),108,2,1,NULL,NULL,NULL,NULL,NULL,2,2,1,49.775
中華大學,旅遊與休閒學系,108,2,1,NULL,NULL,NULL,NULL,NULL,2,2,1,46.525
中華大學,景觀建築學系,108,2,NULL,NULL,NULL,NULL,NULL,NULL,1.75,2,NULL,51.313
中華大學,機械工程學系(智慧機械組),108,2,1,1,NULL,2,2,NULL,NULL,NULL,NULL,42.8375
中華大學,機械工程學系(智慧自動化組),108,2,1,1,NULL,2,2,NULL,NULL,NULL,NULL,42.7562
中華大學,機械工程學系(航空技術組),108,2,1,1,NULL,2,2,NULL,NULL,NULL,NULL,47.3625
中華大學,生物資訊學系(基因科技組),108,2,1,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,52.72
中華大學,生物資訊學系(生醫大數據組),108,2,1,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,51.95
中華大學,科技管理學系,108,2,1,NULL,NULL,NULL,NULL,NULL,2,2,NULL,44.6286
中華大學,行政管理學系,108,2,1,NULL,NULL,NULL,NULL,NULL,2,NULL,2,52.8429
中華大學,觀光與會展活動學系,108,2,1,NULL,NULL,NULL,NULL,NULL,1,2,2,46.2562
中華大學,財務管理系(會計資訊稅務組),108,2,1,NULL,1,NULL,NULL,NULL,2,2,NULL,48.425
中華大學,財務管理系(財務金融管理組),108,2,1,NULL,1,NULL,NULL,NULL,2,2,NULL,51.075
中華大學,財務管理系(金融資訊管理組),108,2,1,NULL,2,NULL,NULL,NULL,2,1,NULL,49.0563
中華大學,資管系(系統設計與製造組),108,1.75,NULL,NULL,NULL,NULL,NULL,NULL,2,2,NULL,49.7739
中華大學,資訊工程學系(人工智慧組),108,2,1,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,51.87
中華大學,資訊工程學系(資訊工程組),108,2,1,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,54.55
中華大學,資訊工程學系(資訊應用組),108,1,NULL,NULL,NULL,NULL,NULL,NULL,2,2,NULL,58.76
中華大學,資訊工程系(智慧軟體設計組),108,2,1,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,52.85
中華大學,資訊管理系(巨量資料應用組),108,2,1.75,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,50.12
中華大學,資訊管理系(手機軟體設計組),108,2,1.75,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,50.6157
中華大學,資訊管理系(資訊管理應用組),108,1.75,NULL,NULL,NULL,NULL,NULL,NULL,2,2,NULL,52.4522
中華大學,運輸科技與物流管理學系,108,2,1,NULL,NULL,NULL,NULL,NULL,2,2,NULL,46.7929
中華大學,電機工程學系,108,2,1,1,NULL,2,2,NULL,NULL,NULL,NULL,43.8625
中華大學,餐旅管理學系,108,2,1,NULL,NULL,NULL,NULL,NULL,2,2,1,45.275
亞洲大學,休閒遊憩管理系(旅遊事業組),108,2,1,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,56.89
亞洲大學,休閒遊憩管理系(餐旅事業組),108,2,1,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,57.53
亞洲大學,健康產業管理系(健康產業組),108,2,1,NULL,1,NULL,NULL,NULL,2,2,NULL,56.4125
亞洲大學,健康產業管理系(醫療機構組),108,2,1,NULL,1,NULL,NULL,NULL,2,2,NULL,60.125
亞洲大學,光電與通訊學系(光電綠能組),108,2,1.75,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,56.3739
亞洲大學,光電與通訊學系(通訊網路組),108,2,1.75,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,55.7791
亞洲大學,創意商品設計系(創意商品組),108,2,NULL,NULL,NULL,NULL,NULL,NULL,1.5,2,NULL,60.4818
亞洲大學,創意商品設計系(科技商品組),108,2,NULL,NULL,NULL,NULL,NULL,NULL,1.5,2,NULL,58.7364
亞洲大學,創意設計學院國際設計學士班,108,1,1,NULL,NULL,NULL,NULL,NULL,2,2,NULL,60.15
亞洲大學,外國語文學系,108,2,2,NULL,NULL,NULL,NULL,NULL,1.5,NULL,NULL,59.6909
