Column1	Column2	Column3	欄1
輔仁大學	會計學系	108	1.5
國立臺灣師範大學	光電工程學士學位學程	108	1
國立臺灣師範大學	營養科學學士學位學程	108	1
輔仁大學	法國語文學系	108	1.5
國立臺北教育大學	社會與區域發展學系	108	1
國立中山大學	應用數學系	108	NULL
國立東華大學	法律學系	108	1.25
國立臺灣師範大學	機電工程學系	108	1
國立中興大學	物理學系一般物理組	108	1
長庚大學	呼吸治療學系	108	NULL
國立高雄大學	東亞語文學系日語組	108	2
國立彰化師範大學	企業管理學系	108	1
高雄醫學大學	職能治療學系	108	1.5
輔仁大學	西班牙語文學系	108	1.5
中國醫藥大學	生物醫學影像暨放射科學學系	108	NULL
臺北醫學大學	食品安全學系	108	1
臺北市立大學	都會產業經營與行銷學系	108	1
國立高雄大學	資訊管理學系	108	1
國立彰化師範大學	輔導與諮商系社區輔導諮商組	108	1.75
國立彰化師範大學	英語學系	108	1.5
國立臺北教育大學	語文與創作學系文學創作組	108	2
國立中興大學	生物產業機電工程學系	108	1
長庚大學	醫務管理學系(社會組)	108	1
國立高雄大學	東亞語文學系韓語組	108	2
國立中山大學	化學系	108	1
國立中央大學	生命科學系	108	1
亞洲大學	財經法律學系(科技法律組)	108	2
國立東華大學	民族社會工作學士學位學程	108	1
國立中正大學	化學工程學系	108	1
元智大學	資訊工程學系(資訊應用組)	108	
國立高雄師範大學	教育學系	108	1.5
國立臺灣海洋大學	電機工程學系	108	1
亞洲大學	職能治療學系	108	1
高雄醫學大學	呼吸治療學系	108	NULL
國立中興大學	生物科技學士學位學程	108	1
臺北醫學大學	高齡健康管理學系	108	1
國立臺灣藝術大學	圖文傳播藝術學系	108	1.5
國立中山大學	物理學系	108	1
臺北市立大學	心理與諮商學系	108	1.5
國立臺東大學	公共與文化事務學系	108	1.5
國立臺北教育大學	兒童英語教育學系	108	1
東吳大學	國際經營與貿易學系	108	1
國立東華大學	民族事務與發展學系	108	1
國立高雄大學	西洋語文學系	108	1.25
國立屏東大學	財務金融學系	108	1
國立臺灣藝術大學	戲劇學系(女)	108	2
輔仁大學	德語語文學系	108	1.5
國立中興大學	機械工程學系	108	1
國立彰化師範大學	會計學系	108	1.5
國立中興大學	化學系(自費)	108	1
國立中山大學	機械與機電工程學系乙組	108	1
國立政治大學	地政學系土地測量與資訊組	108	1.25
輔仁大學	企業管理學系	108	1.5
國立中央大學	大氣科學學系太空組	108	1
國立中正大學	哲學系	108	1.5
馬偕醫學院	聽力暨語言治療學系語言組	108	1.25
國立中央大學	土木工程學系	108	1
國立臺中教育大學	教育學系	108	1.25
國立臺灣師範大學	車輛與能源工程學士學位學程	108	1
國立中正大學	社會福利學系	108	1.5
國立臺灣師範大學	數學系	108	1
國立臺北教育大學	幼兒與家庭教育學系	108	1.5
東海大學	建築學系	108	1.5
東吳大學	財務工程與精算數學系	108	1
國立中央大學	資訊管理學系	108	1.5
國立臺灣師範大學	科技應用與人資發展系(自費)	108	1
國立中正大學	物理學系	108	1
國立屏東大學	應用英語學系	108	2
國立中興大學	食品暨應用生物科技學系	108	1
輔仁大學	義大利語文學系	108	1.5
國立臺灣師範大學	圖文傳播學系	108	1.25
國立中興大學	資訊管理學系	108	1
