university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0
國立臺灣大學,戲劇學系(女),108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,81.7,84.7361
國立臺灣大學,土木工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.92,84.6881
國立政治大學,歐洲語文學系德文組,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,81.58,84.6563
國立政治大學,歐洲語文學系西班牙文組,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,81.4583,84.5754
國立臺北大學,法律學系司法組,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,NULL,1,82.0333,84.5698
國立清華大學,物理學系物理組(甲組一般組),108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.716,84.5604
國立中興大學,化學系(公費)-花蓮縣,108,1,1.5,2,NULL,1,2,NULL,NULL,NULL,NULL,79.8973,84.5565
國立政治大學,外交學系,108,1.5,1.75,NULL,1.25,NULL,NULL,NULL,1,1,NULL,81.6431,84.5099
國立清華大學,化學工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.62,84.5004
國立交通大學,電子物理學系電子物理組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.506,84.429
國立清華大學,經濟學系第1組,108,1,2,NULL,2,NULL,NULL,NULL,1,1,NULL,82.1857,84.4099
國立成功大學,法律學系,108,1,1,NULL,1,NULL,NULL,NULL,1,NULL,1,80.44,84.4025
國立政治大學,地政學系土地管理組,108,1.5,1.5,NULL,1.5,NULL,NULL,NULL,1,1,NULL,81.42,84.3966
國立中興大學,獸醫學系,108,1,1.5,1,NULL,NULL,1.5,1.5,NULL,NULL,NULL,81.0662,84.3865
國立臺北大學,歷史學系,108,1.25,1.25,NULL,NULL,NULL,NULL,NULL,1.5,1,1,79.6267,84.3406
國立臺灣大學,動物科學技術學系,108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,76.88,84.327
國立清華大學,物理學系光電物理組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.33,84.3189
國立政治大學,歷史學系,108,1,1,NULL,1,NULL,NULL,NULL,1.5,1,NULL,79.5273,84.3014
國立臺灣大學,戲劇學系(男),108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,81.0417,84.2985
國立中央大學,財務金融學系,108,1,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,85.145,84.2654
國立政治大學,歐洲語文學系法文組,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,80.9717,84.2526
國立交通大學,管理科學系,108,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,85.78,84.227
國立清華大學,理學院學士班,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.16,84.2125
國立臺灣大學,大氣科學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.16,84.2125
國立政治大學,日本語文學系,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,80.9,84.2064
國立清華大學,工程與系統系(智慧奈米組),108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.09,84.1687
國立交通大學,光電工程學系,108,1,1.5,1.5,NULL,1.5,1,NULL,NULL,NULL,NULL,78.1892,84.1319
國立交通大學,理學院科學學士學位學程甲組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,78.01,84.1186
