biology,cume,0
24,78.58,28.912
23,80.65,27.2901
22,82.69,25.6794
21,84.7,24.1515
20,86.51,22.8286
19,88.74,21.2015
18,90.37,19.9794
17,91.81,18.9925
16,93.4,17.7953
15,94.61,16.8131
14,95.73,15.7642
13,96.88,14.6344
12,97.44,14.0323
11,98.05,13.2467
10,98.7,12.193
9,99.08,11.3415
8,99.31,10.6897
7,99.61,9.58334
6,99.79,8.66667
5,99.85,8.1667
4,99.9,7.5
3,99.94,6.66658
2,99.96,6
1,99.97,5.5
0,100,0
society,cume,0
100,0,99
99,0,99
98,0,99
97,0.01,98.6667
96,0.01,98.6667
95,0.01,98.6667
94,0.03,98
93,0.06,97.6667
92,0.1,97.2222
91,0.15,96.8235
90,0.34,95.8214
89,0.43,95.5
88,0.65,94.8182
87,0.83,94.4091
86,1.16,93.7458
85,1.51,93.1525
84,2.17,92.2963
83,2.54,91.87
82,3.48,90.9436
81,4.16,90.3952
80,5.16,89.625
79,6.08,88.9524
78,7.47,88.0068
77,8.45,87.292
76,10.2,86.0753
75,11.41,85.3038
74,13.37,84.0633
73,14.78,83.1656
72,16.76,81.8784
71,18.41,80.7682
70,20.59,79.3108
69,22.2,78.2333
68,24.61,76.5185
67,26.43,75.2
66,29.12,73.1783
65,30.83,71.873
64,33.69,69.6615
63,35.59,68.1333
62,38.31,65.7544
61,40.24,64.0183
60,43.15,61.2178
59,45.12,59.386
58,48.14,56.5965
57,49.93,54.9115
56,53.22,51.7453
55,55.14,49.8283
54,58.3,46.7423
53,60.28,44.8158
52,63.33,41.9823
51,65.25,40.2059
50,68.39,37.4113
49,70.25,35.8224
48,73.21,33.2288
47,75.12,31.6772
46,77.84,29.4961
45,79.32,28.32
44,81.82,26.3629
43,83.28,25.229
42,85.58,23.5036
41,86.87,22.5714
40,88.66,21.2612
39,89.84,20.3759
38,91.48,19.2192
37,92.5,18.4776
36,94.02,17.3071
35,94.76,16.6729
34,95.8,15.6981
33,96.31,15.217
32,97.11,14.3871
31,97.62,13.8052
30,98.08,13.2078
29,98.39,12.7368
28,98.76,12.0877
27,98.95,11.6585
26,99.18,11.0976
25,99.35,10.5517
24,99.56,9.79168
23,99.65,9.41666
22,99.74,9.04168
21,99.76,8.91665
20,99.83,8.33333
19,99.89,7.66671
18,99.94,6.66658
17,99.96,6
16,99.98,5
15,99.98,5
14,99.99,2
13,99.99,2
12,99.99,2
11,99.99,2
10,99.99,2
9,99.99,2
8,99.99,2
7,99.99,2
6,99.99,2
5,99.99,2
4,99.99,2
3,99.99,2
2,99.99,2
1,99.99,2
0,100,0
